500    0.333    1010    13.9    194
500    0.333    101     4.01    16.2
500    0.333    1061    14.2    203
500    0.333    1111    14.5    213
500    0.333    1162    14.9    224
500    0.333    1212    15.2    234
500    0.333    1263    15.6    246
500    0.333    1313    15.8    252
500    0.333    1364    16.1    264
500    0.333    1414    16.5    275
500    0.333    1465    17      293
500    0.333    1515    17      294
500    0.333    152     5.02    25.4
500    0.333    1566    17.4    307
500    0.333    1616    17.8    322
500    0.333    1667    18    330
500    0.333    1717    18.1    332
500    0.333    1768    18.5    347
500    0.333    1818    18.9    360
500    0.333    1869    18.8    357
500    0.333    1919    19.1    368
500    0.333    1970    19.3    379
500    0.333    1       2.14E-16    7.05E-31
500    0.333    2020    19.7    392
500    0.333    202     5.83    34.3
500    0.333    2071    20    406
500    0.333    2121    20.2    415
500    0.333    2172    20.6    429
500    0.333    2222    20.6    430
500    0.333    2273    21.1    450
500    0.333    2323    21.3    460
500    0.333    2374    21.4    463
500    0.333    2424    21.8    481
403    0.333    2475    17.8    398
500    0.333    2525    22    492
500    0.333    253    6.68    45.1
479    0.333    2576    21.6    493
223    0.333    2626    10    229
236    0.333    2677    10.8    252
216    0.333    2727    9.91    230
78    0.333    2778    3.62    85.7
500    0.333    303    7.27    53.4
500    0.333    354    8    64.6
500    0.333    404    8.52    73.2
500    0.333    455    9.16    84.7
500    0.333    505    9.65    94.2
500    0.333    51    2.71    7.41
500    0.333    556    10.2    104
500    0.333    606    10.6    113
500    0.333    657    11.1    126
500    0.333    707    11.5    133
500    0.333    758    12    145
500    0.333    808    12.4    155
500    0.333    859    12.8    166
500    0.333    909    13.1    174
500    0.333    960    13.6    187
500    0.337    1010    14.3    206
500    0.337    101    4.08    16.8
500    0.337    1061    14.6    215
500    0.337    1111    14.9    225
500    0.337    1162    15.2    234
500    0.337    1212    15.8    251
500    0.337    1263    15.9    256
500    0.337    1313    16.3    269
500    0.337    1364    16.5    277
500    0.337    1414    16.8    285
500    0.337    1465    17.3    301
500    0.337    1515    17.5    309
500    0.337    152    5.1    26.2
500    0.337    1566    17.9    323
500    0.337    1616    18    327
500    0.337    1667    18.4    344
500    0.337    1717    18.7    353
500    0.337    1768    18.9    362
500    0.337    1818    19.3    378
500    0.337    1869    19.4    381
500    0.337    1919    19.9    400
500    0.337    1970    20.2    413
500    0.337    1    1.69E-16    7.57E-31
500    0.337    2020    20.4    419
500    0.337    202    6.02    36.5
500    0.337    2071    20.6    431
500    0.337    2121    20.8    439
500    0.337    2172    21    446
500    0.337    2222    21.2    456
500    0.337    2273    21.8    480
500    0.337    2323    21.8    480
500    0.337    2374    21.9    487
500    0.337    2424    22.5    512
500    0.337    2475    22.6    515
500    0.337    2525    22.8    525
500    0.337    253    6.82    46.9
477    0.337    2576    21.9    508
219    0.337    2626    10.3    246
277    0.337    2677    12.9    304
114    0.337    2727    5.36    128
77    0.337    2778    3.57    84.2
500    0.337    303    7.53    57.1
500    0.337    354    8.17    67.3
500    0.337    404    8.82    78.5
500    0.337    455    9.38    88.7
500    0.337    505    9.91    99.1
500    0.337    51    2.76    7.68
500    0.337    556    10.4    110
500    0.337    606    10.9    120
500    0.337    657    11.3    129
500    0.337    707    11.8    140
500    0.337    758    12.3    152
500    0.337    808    12.6    160
500    0.337    859    13.2    176
500    0.337    909    13.5    184
500    0.337    960    13.7    191
500    0.34    1010    14.5    212
500    0.34    101    4.2    17.7
500    0.34    1061    15    226
500    0.34    1111    15.2    233
500    0.34    1162    15.6    246
500    0.34    1212    15.8    252
500    0.34    1263    16.2    266
500    0.34    1313    16.6    277
500    0.34    1364    16.9    287
500    0.34    1414    17.3    303
500    0.34    1465    17.7    316
500    0.34    1515    18    326
500    0.34    152    5.21    27.3
500    0.34    1566    18.2    334
500    0.34    1616    18.5    345
500    0.34    1667    18.7    353
500    0.34    1717    19    365
500    0.34    1768    19.3    377
500    0.34    1818    19.6    389
500    0.34    1869    19.8    397
500    0.34    1919    20.2    414
500    0.34    1970    20.6    428
500    0.34    1    1.78E-16    7.3E-31
500    0.34    2020    20.7    434
500    0.34    202    6.1    37.5
500    0.34    2071    21.1    450
500    0.34    2121    21.1    449
500    0.34    2172    21.4    463
500    0.34    2222    21.8    480
500    0.34    2273    22.1    492
500    0.34    2323    22.3    502
500    0.34    2374    22.6    514
500    0.34    2424    22.6    518
500    0.34    2475    22.8    528
247    0.34    2525    11.6    277
500    0.34    253    6.94    48.5
488    0.34    2576    22.8    538
381    0.34    2626    18.2    437
147    0.34    2677    7.07    172
86    0.34    2727    4.15    101
80    0.34    2778    3.9    95.8
